model_name,model_family,split
Honor X9c 5G 12GB,honor x9c,test
Xiaomi Redmi 17 6GB,xiaomi redmi 17,train
Nubia A76 4GB (NFC),nubia a76 (nfc),train
iPhone 16 Plus,iphone 16 plus,train
Oppo A6T Pro 8GB,oppo a6t pro,train
OPPO Reno14 F 5G 8GB,oppo reno14 f,train
Itel P55 Plus NFC 8GB,itel p55 plus nfc,train
OPPO Find X9 5G 16GB,oppo find x9,train
iPhone Air,iphone air,test
Honor X5c Plus 4GB,honor x5c plus,train
Honor Magic V5 5G 16GB,honor magic v5,test
Samsung Galaxy A37 5G 8GB,samsung galaxy a37,train
iPhone 17,iphone 17,test
Samsung Galaxy S25 FE 5G,samsung galaxy s25 fe,train
OPPO Find N6 5G 16GB,oppo find n6,train
iPhone 16e SIM Viettel,iphone 16e,train
Benco V90 Plus 4GB,benco v90 plus,train
Honor 600 5G 8GB,honor 600,train
Honor X5c 4GB,honor x5c,train
Xiaomi Poco C71 4GB,xiaomi poco c71,train
Nubia V70 Design 8GB,nubia v70 design,train
Honor X8d 8GB,honor x8d,train
Samsung Galaxy A06 5G,samsung galaxy a06,train
OPPO Reno13 F 8GB,oppo reno13 f,test
Xiaomi Redmi A7 Pro 4GB (NFC),xiaomi redmi a7 pro (nfc),train
Benco S1 Pro 8GB,benco s1 pro,test
Xiaomi 15T 5G 12GB,xiaomi 15t,train
Honor Play 10 4GB,honor play 10,train
Xiaomi Redmi 13x 8GB 128GB,xiaomi redmi 13x,train
Samsung Galaxy S26 Plus 5G 12GB,samsung galaxy s26 plus,train
Tecno Spark 30 5G 6GB,tecno spark 30,train
REDMAGIC 11 Pro 5G 12GB,redmagic 11 pro,train
Nubia Neo 5 Max 8GB,nubia neo 5 max,train
Xiaomi Redmi 17 5G 4GB,xiaomi redmi 17,train
Nubia Neo 5 Max 8GB,nubia neo 5 max,train
Samsung Galaxy Z Fold8 Ultra 5G 12GB,samsung galaxy z fold8 ultra,train
Xiaomi Poco M7 Pro 5G 8GB,xiaomi poco m7 pro,test
Nubia Fold 5G 12GB,nubia fold,test
Samsung Galaxy A17,samsung galaxy a17,train
Honor X9d 5G 12GB,honor x9d,train
Samsung Galaxy S26 Plus 5G 12GB,samsung galaxy s26 plus,train
Samsung Galaxy S26 Ultra 5G 12GB,samsung galaxy s26 ultra,train
Xiaomi Redmi 15 5G 8GB,xiaomi redmi 15,train
Xiaomi 15T Pro 5G 12GB,xiaomi 15t pro,train
iPhone 16e,iphone 16e,train
iPhone 17 Pro Max,iphone 17 pro max,train
iPhone 17 Pro Max,iphone 17 pro max,train
Xiaomi Redmi 15C 4GB,xiaomi redmi 15c,train
Samsung Galaxy S26 5G 12GB,samsung galaxy s26,train
Nubia V80 Design 4GB,nubia v80 design,train
Honor X6c 6GB,honor x6c,train
Oppo Find X9 Ultra 5G 12GB,oppo find x9 ultra,test
Nubia Neo 5 5G 8GB,nubia neo 5,train
Honor X7d 8GB,honor x7d,test
Oppo A6C 4GB,oppo a6c,train
OPPO A6T 4GB,oppo a6t,train
Honor X9d 5G 8GB,honor x9d,train
iPhone 17,iphone 17,test
Honor X7d 5G 8GB,honor x7d,test
Samsung Galaxy S25 Ultra 5G,samsung galaxy s25 ultra,test
Xiaomi Redmi Note 15 Pro 5G 12GB,xiaomi redmi note 15 pro,train
Benco V91 Plus 6GB,benco v91 plus,train
Tecno Pova 7 8GB,tecno pova 7,train
Samsung Galaxy S24 FE 5G,samsung galaxy s24 fe,train
Xiaomi Redmi A7 3GB,xiaomi redmi a7,test
REDMAGIC 11S Pro 5G 12GB,redmagic 11s pro,train
iPhone 16e,iphone 16e,train
Samsung Galaxy A07 8GB,samsung galaxy a07,train
Tecno Pova Curve 2 5G 8GB,tecno pova curve 2,test
iPhone 17e,iphone 17e,train
Samsung Galaxy A36 5G,samsung galaxy a36,train
OPPO A5i Pro 8GB,oppo a5i pro,train
OPPO A5i 6GB,oppo a5i,test
Tecno Pova 7 8GB,tecno pova 7,train
Samsung Galaxy S26 Ultra 5G 16GB,samsung galaxy s26 ultra,train
Samsung Galaxy Z Fold8 5G 16GB,samsung galaxy z fold8,train
Xiaomi 17 Ultra 5G 16GB,xiaomi 17 ultra,train
Tecno Spark Go 3 4GB,tecno spark go 3,train
Nubia Neo 5 5G 8GB,nubia neo 5,train
Samsung Galaxy A07,samsung galaxy a07,train
Samsung Galaxy Z Flip8 5G 12GB,samsung galaxy z flip8,train
Xiaomi Poco F8 Pro 5G 12GB,xiaomi poco f8 pro,train
iPhone 15,iphone 15,train
OPPO Reno16 F 5G 8GB,oppo reno16 f,train
Samsung Galaxy Z Fold8 Ultra 5G 16GB,samsung galaxy z fold8 ultra,train
Samsung Galaxy S25 Edge 5G,samsung galaxy s25 edge,test
iPhone 17e,iphone 17e,train
iPhone 16e,iphone 16e,train
OPPO A6 Pro 8GB,oppo a6 pro,train
Xiaomi Poco M8 Pro 5G 12GB,xiaomi poco m8 pro,train
Samsung Galaxy Z Flip7 5G,samsung galaxy z flip7,train
Xiaomi Redmi Note 15 Pro 12GB,xiaomi redmi note 15 pro,train
Tecno Spark 40C 8GB,tecno spark 40c,train
OPPO Reno14 5G 12GB,oppo reno14,train
iPhone 16,iphone 16,train
Samsung Galaxy Z Flip7 5G,samsung galaxy z flip7,train
iPhone 17 Pro,iphone 17 pro,train
Samsung Galaxy A57 5G 8GB,samsung galaxy a57,train
